#OTU ID	SRR14065308_pass	SRR14065340_pass	SRR14065341_pass	SRR14065392_pass	SRR14065395_pass	SRR14065400_pass	SRR14065406_pass	SRR14065408_pass	SRR14065413_pass	SRR14065418_pass	SRR14065429_pass	SRR14065444_pass	SRR14065495_pass	SRR14065520_pass	SRR14065527_pass	SRR14065559_pass	SRR14065561_pass	SRR14065565_pass	SRR14065566_pass	SRR14065606_pass	SRR14065629_pass	SRR14065676_pass	SRR14065680_pass	SRR14065689_pass	SRR14065714_pass	SRR14065724_pass	SRR14065760_pass	SRR14065764_pass	SRR14065780_pass	SRR14065800_pass	SRR14065801_pass	SRR14065802_pass	SRR14065805_pass	SRR14065812_pass	SRR14065820_pass	SRR14065848_pass	SRR14065866_pass	SRR14065871_pass	SRR14065884_pass	SRR14065898_pass	SRR14065911_pass	SRR14065914_pass
0071ef14fbfad85046d411896a863c01	0	1	146	0	0	28	0	0	0	40	0	0	0	77	0	24	34	0	0	1	0	0	17	0	0	0	0	0	0	21	31	0	0	34	92	0	77	34	0	0	0	0
00786f1fa47b70714a3bbc235cb4bb34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
00b74d2891ff90170e02cf9e8d470931	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
01902389aca39c047eb2e1d703a8beb1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0
02a034c2326f880c59737bb7fc861d6a	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0310d4e31293d4f2724e84da75794775	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
03180130325e3a2120a8effe3365c2b1	0	94	6	0	0	1	2	0	0	3	1	3	32	0	4	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	21	0	0	0
0491d60f93cf793d9de07ae6ae7764a1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	4	0
04aebadda2a53017d63d227303457a6d	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
0617473f33fd3ab42aea04e0e9e7340d	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
078f29da0ba066ab75728f10dc1b44ae	11118	1017	0	0	7423	0	0	0	5	0	1	0	525	0	0	0	0	0	0	0	10	204	0	1	0	0	0	0	2	0	0	0	0	0	1	58415	0	0	326	400	10	4620
09e757a82b16f3a776ee7160be2e6f7f	1	20	22	5	0	0	4	1	5	6	19	5	14	96	62	13	3	1	3	9	4	0	18	1	1	35	0	0	0	0	41	4	1	21	4	0	19	1	0	0	93	0
0b4d1957b63754cb79bf91bff43a973d	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
0db132019fc2e14c6158ea3dc56ef761	0	0	2	0	0	0	1	0	0	0	0	0	0	77	0	0	88	1	433	7	0	0	0	0	0	0	0	0	0	0	111	447	0	0	0	0	0	0	0	0	0	0
0db80763d08eb95f6bc0a040a8ebeae0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0e93d24a367e66b5ae764a069374abbf	4	2	7	0	3	2	4	0	3	1	1	0	21	2	0	0	0	0	0	1	1	26	0	11	0	3	40	60	0	0	10	0	4	2	4	16	4	1	6	59	1	165
0eb783e53ae300b07a9631565db8b196	0	4	0	0	0	0	0	0	0	0	1	0	0	2	2	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	2	0	0	3	2	0	1	1	0	0	1	0
0fc0d02136637ce93e4180f112f56955	156	40	1	0	7	0	0	0	0	1	0	7	427	0	1	0	0	0	0	0	0	5	0	1073	19	0	0	0	60	0	0	0	0	1	1	0	0	0	11	2245	92	95
10a2fa2b4a929051283ce9462a81f446	267	329	118	0	371	2	38	0	0	121	222	0	121	0	28	1	0	1	0	0	5	5042	222	10	12	21	1958	30	7	0	6	0	3	14	7	3599	0	27	6944	971	589	686
1231f49abb19bbcbbad767795a2709db	187	15	191	28	1	5	85	408	24	26	501	48	167	104	5	121	223	16	60	18	339	75	2054	18	4	23	137	379	8	11	315	7	170	176	108	122	158	36	180	76	9	412
155a0e52e17a1bd8e097e2cc9142906f	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
16fe3ae06eb1f31c97a341a643e61ada	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
17e994face6cbb8df85e9620f2422117	0	0	0	67	0	1	63	0	0	10	0	5	704	398	13	0	634	0	161	15	175	1745	0	0	0	1	0	0	0	0	108	63	1	28	1	0	0	60	0	0	0	0
199c401832167143dcaba91ccd7fddb7	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	1	0	0	0	0	4	5	0	1	0	0	0	0	0	0
19b5877c64340a06ec5ca4b4cc03b313	1	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1ad4ba20218ced7bd629e308f7d7eaaf	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0
1bd2f6649ec4b8ba0e9b214589b61573	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1cd55ceee05db3f2a8cd5165a1b3bed1	0	0	0	0	0	0	0	0	0	0	2	1	0	1	0	1	2	0	0	0	1	0	10	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
1dbfb5da3c9bef58179011201accdb56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	275	0	0	0	0	0	0
212db3fb7f4479fb86c3e7bde12a52da	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4
23254d5b088a633a8474eb164ad2d810	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0
25503731b0d1a72bca5363a12fec6694	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28ff9f580b089a85b3eadfea267f315c	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
29d229105ffad984efb45ec0e6b3a667	5	0	33	23	0	4	16	0	6	0	0	2	0	78	13	0	62	1	190	142	10	0	2	0	4	11	0	0	0	2	84	99	0	0	5	0	0	5	0	0	0	0
2ec25b950f335aa8bb5cb9e728fbdd5a	11	1	49	3	0	520	1	16	1	8	0	29	0	21	32	42	3	124	0	5	91	0	1	0	0	138	0	0	0	6	50	0	30	25	51	0	0	0	3	0	0	0
2f17f10bd2323a22b5785a85331534ac	1	1	3896	27	0	0	17	21	135	2658	0	255	0	3416	1276	555	439	20	7	78	135	228	1537	2	185	503	5	1	0	0	1122	86	53	1265	1	0	1709	32	1	4	3	0
305e88c9b72912871f4e45fb3124e265	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
30a4882804d602c427c66251f73f186b	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
30a5d9ff99fe1c60ac9aa0f4be195b4a	167	180	0	0	99	0	4	52	45	40	11	0	1630	0	70	0	0	3	0	0	0	0	0	2	0	0	364	244	38	0	0	0	2	10	0	0	0	0	1	315	12	0
32f470d97ae19e2eedf563b3c4c5628b	0	0	0	0	0	0	0	0	15	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0
345a9aca91c4dcac84fe09e87a709c26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
3584a6c23dac9dba5f5c4672d6cda32d	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	2	0	0	0	0	0	0
37aff6547ae9b77cf17c72e5071b861d	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
3a5bac35c3e791bc8fa5b0b581e32306	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3bf30ec8de1124e0e20787d09bd36b80	0	0	83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3d6d8cd2c33789b44a8e9e83bd48bd79	82	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3e7a4a63de3a33ab7a363f1175abcaa8	615	0	108	21	107	4	298	252	577	47	0	28	130	82	28	14	151	0	43	18	48	573	71	5571	1457	55	1371	0	3	8	21	88	8	61	1	0	35	74	2241	3738	3131	3606
3f4ade8624e3f2942f14ba0485e9e099	4	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
40bbc5e135cace2aef5e588a89d2b0d9	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
41b71050939230ffe5a562bd2a46ce4c	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	1	0	0	1	0	1	1	0	0	0	0
4251942c1ce6355efed7952509014caa	0	0	1	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	4	2	4	3	0	0	0	0	0	0	0	0
4698a8ceecc080bd9f1903877b8376bf	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4884eedc187bf7dfa3fa645ccf9eb2bb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
48d6f2748434d8e1c7f192497502cf04	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4a5cb9f7da0e0b509f9e557a0fefeb1c	0	2	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1
4a5fd6a71c60ccfd3f622d92d710f0fa	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	1	0	1
4aa07736fec80d08956925f69a84193f	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
4b5b5f1482508c1d11fd8db3deabf675	0	8	1	0	0	0	0	0	1	0	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	5	3	0
4c546e24f53b4fe7d85ed3ca3cb6f32f	12385	2	3020	52	0	69	26	52	64	0	0	299	0	1	381	99	0	8	2	270	88	0	638	0	440	170	0	3	0	0	0	0	38	0	0	0	1093	35	0	0	1	0
4c778b3581948480afc55d711a419cb0	0	0	1	0	6	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
4c7ec7a8ea483641bde23d25344da39b	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4cf8ca2c88d96a3c75bff0a7b1d71593	390	0	0	0	0	0	0	0	0	0	0	0	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4d44de6a3a176bb46667c088efe43bf6	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0
4d5a89e740c535fe4f5b1bd24add3e37	0	12	0	0	5	0	1	0	0	0	0	0	1554	0	54	0	0	0	0	0	0	0	0	0	0	0	23	8029	65	1	0	0	0	0	0	4581	0	0	0	22	0	0
505045760698ead319d4ff535faefeab	6	2	2	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	9	2	1	0	2	0	0	1	0	0	0	0	1	2	0	244
551ed7af5ae9fdbd18a3ec7d04db8b94	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
56124d34d1d7a0d0e63dda8e4e52f730	0	0	78	47	0	13	43	65	0	71	0	120	0	89	114	33	162	7	27	29	125	1	42	0	0	37	0	0	0	25	117	21	120	81	95	0	61	35	0	0	0	0
57a0eddffd51461e1909c9211f96f0f1	1	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	2	0	17
5935244a7a7c88ffe7c005ba2889af25	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	7	0	0
59401186c04d6686d6c1899f9ba53242	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
5a73dbe432da3a0d59f77a9d174ce196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4381	0	0	16	0	0	18
5acc903245d239b57c3e967ced6d635b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5c31b2ea5d859ec9d909e9cb6a35b912	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
5c3346b5f7f4f889a7c4991d2d3bcdee	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5d3d4b26d52971e81a33fa01fd550ee9	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	20	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5f4410fbe40474c8904bf77586ed21dc	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
61954a3ad2f9323dfc248b39207930a9	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
61ad0efd12e5df6b489dfb723c1015b9	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
626039314b11dfda220c9b8ce3a54098	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
628054a712fa1fa4e725f21388b1dc7d	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	2	0	0
62fd390fb436a4b3081d8b303233c20a	0	0	22	0	0	0	1	3	0	32	81	0	78	0	3	0	0	1	0	0	1	1650	11	31	2	3	0	12	0	0	1	0	11	4	0	9	0	0	7	1637	166	0
648771008eae710fde98d47cd8a951f6	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0
6618d764e65f6b3a080ce7da14652d68	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	1	0	0
6697c05d8b2b5361bba6b99050cd0179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	5
691f56ec60d3758cd26bf5da7df43c3d	26	42	0	0	2743	1	0	206	0	1	0	1	9	1	0	0	0	0	1	0	0	1	0	1	1	0	16557	6	0	0	0	1	0	0	2	4	0	0	5	0	35	0
692468544b4da2dcf57e2382eab28819	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	377	0	0	0
6aea863376d4eaef3fa32f1cc8944705	0	18820	0	0	0	2	18776	740	0	0	0	1	1	0	0	1	3	12027	1	1803	0	0	0	2	1	2	0	2	1	0	2	0	1592	0	3	0	4	45952	0	1	1	0
6b5d7d9517bdc00395b271deabf6b236	0	48	0	8	0	6	1	2	0	502	0	127	0	188	1115	242	1	9	0	1	28	0	57	0	0	556	0	0	0	4	471	1	1	22	220	0	18	6	815	0	0	0
6c6533beb2a0c754462e945caf9bcbeb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0
6d716c5427c69a07a9e6b0a3065e7205	0	6061	1134	337	37632	1	50	194	22	25	1	178	1	1	123	0	6	19	658	83	290	4	208	5120	3	319	19772	4	5124	0	2	237	208	826	1	0	232	23	32317	3	5	699
6dafe83c944f190dddb5195f06963db6	0	0	1	0	0	0	3	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
73fb91e167b78bbc62554bf84e93096d	13	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
74a08c7ec46e36490621087932a4b1df	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
74ab168f6c987b11d8fccaeeda84ed28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7543a57c2d7e7c715944840e717cecd5	1298	7039	23	1	1	1	3	15	590	5	232	3	637	41	39	1	9	0	55	0	3	0	17	336	248	0	0	3	800	0	14	99	18	19	0	1	8	0	532	6895	946	0
7962d243b44c8c8141ad766b94c8f362	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	105	2	0	0	0	2	0	0	0	355	0	0	0	0	0	118	8	1	0
7a20a1a88d1904930e1f87b93a49e237	2	166	6	3	0	0	1	1	137	15	332	8	217	16	5	1	8	0	0	8	1	0	4	523	34	3	0	0	490	2	16	4	0	1	3	0	11	2	153	2446	1021	0
7de1921d8eddf01107e9d68d3472bfdb	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7f2f9053d672e619ea40a73527cc4546	9204	6334	5626	2061	1	2424	1058	412	3317	1492	8831	3811	24821	14918	15958	3608	3027	76	3907	2339	3661	8	4519	23	9032	5112	2	9	0	515	8134	3428	1008	10857	4762	5	7139	852	1	9	40362	5
7f42b92304c2fdf6954891cc9fa0cf30	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
80cdbe70c8afe3669af3d8a9c353cf1f	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8131e27efd40a109b7060275d5d76487	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
81fd1c36367ad9863116257767319634	0	0	0	0	0	0	0	0	0	0	0	0	185	4	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0
82890eb6bd51a7fbf8070fce11302922	0	0	3	0	0	0	0	0	0	4	3	0	9	0	0	0	0	0	0	0	0	12	15	0	1	0	0	3	0	0	0	0	0	3	0	0	0	0	603	3	0	0
82e22e051185e77956e978b218e2bec6	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	4
836d435483c9812b120c2dbbacdf75c1	0	0	1805	30	0	286	879	704	0	82	0	983	1122	1	521	488	0	222	1273	58	374	0	224	0	0	1546	0	1	0	139	0	1543	429	348	2865	0	1078	909	0	1	0	0
862f7123aed8c5ef588ad7360dc73a98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
8688da16e8d162cb65706962854106dc	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
87dc7989832e72127506049e5e560456	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
8837b8eae033dd53cdf8f1969667921f	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
8a5895514823e44b632c1861c352fb47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	6	0	2	257	0	0	66
8da8def50394355232798c61358d9d81	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
8e20b56c8f2bfb13c1b83687c53e20b2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
8e36846affd82ca0049fce0ee0d5abfb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2
901d8ed2db3df4a849784c0539dee341	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
90fe766416543b3abc7035af2e3e8920	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
91ccf38e4cb9444ef2c4b7023a8ed6f8	8	0	0	0	200	0	1	0	3	2	49	0	715	0	1	0	0	0	0	0	0	0	0	2	1	0	477	2	0	0	0	0	0	0	0	1	0	0	0	89	8	0
91f2746472a331580e4b014eda21acd8	0	4	8	0	2	0	0	0	0	4	0	2	0	0	7	0	0	0	0	0	0	1	5	0	0	21	67	119	1	0	1	0	0	2	0	3	0	2	275	0	0	28
