#OTU ID	SRR14065308	SRR14065340	SRR14065341	SRR14065392	SRR14065395	SRR14065400	SRR14065406	SRR14065408	SRR14065413	SRR14065418	SRR14065429	SRR14065444	SRR14065495	SRR14065520	SRR14065527	SRR14065559	SRR14065561	SRR14065565	SRR14065566	SRR14065606	SRR14065629	SRR14065676	SRR14065680	SRR14065689	SRR14065714	SRR14065724	SRR14065760	SRR14065764	SRR14065780	SRR14065800	SRR14065801	SRR14065802	SRR14065805	SRR14065812	SRR14065820	SRR14065848	SRR14065866	SRR14065871	SRR14065884	SRR14065898	SRR14065911	SRR14065914
fig|1006551.4.rna.29	10	101	0	0	183	0	0	0	9	0	0	0	7048	0	16	0	0	0	1	1	0	0	0	0	0	0	419	0	1	0	0	0	0	0	0	1127	0	0	12	67	9	0
fig|1069533.5.rna.58	0	0	0	0	0	0	0	0	0	0	136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	455	0
fig|1069534.5.rna.3	0	0	0	0	0	0	20	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
fig|1076550.3.rna.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
fig|1078091.3.rna.62	0	0	0	0	0	0	0	0	0	0	0	0	178	4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0
fig|1125778.3.rna.51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
fig|1139219.4.rna.33	159	33	0	0	6	0	0	0	0	2	0	5	139	0	0	0	0	0	0	0	0	5	0	1086	0	0	0	0	40	0	0	0	0	1	1	0	0	0	0	2301	50	92
fig|1141663.3.rna.73	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
fig|1156433.3.rna.41	32	11	82	0	0	7	0	44	0	3	27	1	27	7	1	5	6	3	0	0	1	0	116	0	2	14	0	191	12	3	25	0	38	27	17	9	44	11	37	1	10	102
fig|1156433.3.rna.94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
fig|1158601.3.rna.62	0	89	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	38	0	0	27	183	0	0	0	0	0	0	112	0	0	0	0	0	0
fig|1158614.4.rna.91	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	1	7	0	0	0	0	0	0	2	0	0	0	0	0	0
fig|1235789.3.rna.90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
fig|1245935.3.rna.23	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
fig|1267.3.rna.78	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
fig|1286170.3.rna.77	6923	179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
fig|1333848.3.rna.31	4	0	0	0	0	0	1	0	3	2	45	0	680	0	1	0	0	0	0	0	0	0	0	2	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	86	6	0
fig|137838.3.rna.31	9778	931	0	0	6920	0	1	0	4	0	1	0	465	0	0	0	0	0	0	0	7	181	0	0	0	0	0	0	2	0	0	0	0	0	1	55261	0	0	265	390	8	4128
fig|1384063.4.rna.13	841	5843	22	0	1	1	0	14	531	5	210	2	645	24	30	1	3	0	55	0	2	0	16	245	196	0	0	2	752	1	13	98	11	12	0	2	6	0	466	5900	941	0
