Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host,Instrument,Label,Lat_Lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study
SRR2079821,AMPLICON,500,471492019,PRJNA288044,SAMN03793032,Metagenome or environmental,312025804,UNIVERSITY OF ALBERTA,2012,public,"fastq,sra",s3,s3.us-east-1,SRX1074571,Canada,North America,"Canada: Edmonton\, Alberta",not applicable,Illumina MiSeq,MIX1.16S,53.520710 N 113.524239 W,MIX1.16S,PAIRED,PCR,METAGENOMIC,mixed culture metagenome,ILLUMINA,2016-04-12T00:00:00Z,2015-06-26T14:49:00Z,1,MIX1.16S,SRP059928
SRR2080624,AMPLICON,501,411043309,PRJNA288044,SAMN03793036,Metagenome or environmental,271374066,UNIVERSITY OF ALBERTA,2012,public,"sra,fastq",s3,s3.us-east-1,SRX1075203,Canada,North America,"Canada: Edmonton\, Alberta",Homo sapiens,Illumina MiSeq,CD4TisA.16S,53.520710 N 113.524239 W,CD4TisA.16S,PAIRED,PCR,METAGENOMIC,human metagenome,ILLUMINA,2016-04-12T00:00:00Z,2015-06-29T18:02:00Z,1,CD4TisA.16S,SRP059928
SRR2080625,AMPLICON,501,411360475,PRJNA288044,SAMN03793037,Metagenome or environmental,260156483,UNIVERSITY OF ALBERTA,2012,public,"fastq,sra",s3,s3.us-east-1,SRX1075204,Canada,North America,"Canada: Edmonton\, Alberta",Homo sapiens,Illumina MiSeq,CD11Bx.16S,53.520710 N 113.524239 W,CD11Bx.16S,PAIRED,PCR,METAGENOMIC,human metagenome,ILLUMINA,2016-04-12T00:00:00Z,2015-06-29T16:18:00Z,1,CD11Bx.16S,SRP059928
SRR2080626,AMPLICON,501,400457114,PRJNA288044,SAMN03793038,Metagenome or environmental,261743470,UNIVERSITY OF ALBERTA,2012,public,"fastq,sra",s3,s3.us-east-1,SRX1075205,Canada,North America,"Canada: Edmonton\, Alberta",Homo sapiens,Illumina MiSeq,CD11TisA.16S,53.520710 N 113.524239 W,CD11TisA.16S,PAIRED,PCR,METAGENOMIC,human metagenome,ILLUMINA,2016-04-12T00:00:00Z,2015-06-29T19:11:00Z,1,CD11TisA.16S,SRP059928
SRR2080627,AMPLICON,500,329923606,PRJNA288044,SAMN03793039,Metagenome or environmental,217519809,UNIVERSITY OF ALBERTA,2012,public,"sra,fastq",s3,s3.us-east-1,SRX1075206,Canada,North America,"Canada: Edmonton\, Alberta",Homo sapiens,Illumina MiSeq,CD4TisB.16S,53.520710 N 113.524239 W,CD4TisB.16S,PAIRED,PCR,METAGENOMIC,human metagenome,ILLUMINA,2016-04-12T00:00:00Z,2015-06-29T17:09:00Z,1,CD4TisB.16S,SRP059928
SRR2080629,AMPLICON,500,730141115,PRJNA288044,SAMN03793041,Metagenome or environmental,491930902,UNIVERSITY OF ALBERTA,2012,public,"fastq,sra",s3,s3.us-east-1,SRX1075208,Canada,North America,"Canada: Edmonton\, Alberta",Homo sapiens,Illumina MiSeq,IL10-C.16S,53.520710 N 113.524239 W,IL10-C.16S,PAIRED,PCR,METAGENOMIC,human metagenome,ILLUMINA,2016-04-12T00:00:00Z,2015-06-29T16:08:00Z,1,IL10-C.16S,SRP059928
SRR2080631,AMPLICON,500,705140918,PRJNA288044,SAMN03793043,Metagenome or environmental,471634680,UNIVERSITY OF ALBERTA,2012,public,"sra,fastq",s3,s3.us-east-1,SRX1075210,Canada,North America,"Canada: Edmonton\, Alberta",Homo sapiens,Illumina MiSeq,IL10-LF.16S,53.520710 N 113.524239 W,IL10-LF.16S,PAIRED,PCR,METAGENOMIC,human metagenome,ILLUMINA,2016-04-12T00:00:00Z,2015-06-29T19:12:00Z,1,IL10-LF.16S,SRP059928
SRR2080777,AMPLICON,501,390353635,PRJNA288044,SAMN03793057,Metagenome or environmental,216491164,UNIVERSITY OF ALBERTA,2008,public,"sra,fastq",s3,s3.us-east-1,SRX1075212,Canada,North America,"Canada: Edmonton\, Alberta",Homo sapiens,Illumina MiSeq,C0050.16S,53.520710 N 113.524239 W,C0050.16S,PAIRED,PCR,METAGENOMIC,human metagenome,ILLUMINA,2016-04-12T00:00:00Z,2015-06-29T18:13:00Z,1,C0050.16S,SRP059928
SRR2081030,AMPLICON,600,330119103,PRJNA288044,SAMN03793058,Metagenome or environmental,208010907,UNIVERSITY OF ALBERTA,2014,public,"fastq,sra",s3,s3.us-east-1,SRX1075608,Canada,North America,"Canada: Edmonton\, Alberta",not applicable,Illumina MiSeq,KEFIR.16S,53.520710 N 113.524239 W,KEFIR.16S,PAIRED,PCR,METAGENOMIC,food fermentation metagenome,ILLUMINA,2016-04-12T00:00:00Z,2015-06-29T17:15:00Z,1,KEFIR.16S,SRP059928
SRR2081031,AMPLICON,501,224857634,PRJNA288044,SAMN03793060,Metagenome or environmental,116948435,UNIVERSITY OF ALBERTA,2013,public,"sra,fastq",s3,s3.us-east-1,SRX1075609,Canada,North America,"Canada: Edmonton\, Alberta",Homo sapiens,Illumina MiSeq,CDIFFA.16S,53.520710 N 113.524239 W,CDIFFA.16S,PAIRED,PCR,METAGENOMIC,human metagenome,ILLUMINA,2016-04-12T00:00:00Z,2015-06-29T18:13:00Z,1,CDIFFA.16S,SRP059928
SRR2081032,AMPLICON,501,222808409,PRJNA288044,SAMN03793061,Metagenome or environmental,118542208,UNIVERSITY OF ALBERTA,2013,public,"sra,fastq",s3,s3.us-east-1,SRX1075610,Canada,North America,"Canada: Edmonton\, Alberta",Homo sapiens,Illumina MiSeq,CDIFFB.16S,53.520710 N 113.524239 W,CDIFFB.16S,PAIRED,PCR,METAGENOMIC,human metagenome,ILLUMINA,2016-04-12T00:00:00Z,2015-06-29T18:10:00Z,1,CDIFFB.16S,SRP059928
SRR2081033,AMPLICON,500,289240562,PRJNA288044,SAMN03793062,Metagenome or environmental,148881864,UNIVERSITY OF ALBERTA,2014,public,"sra,fastq",s3,s3.us-east-1,SRX1075611,Canada,North America,"Canada: Edmonton\, Alberta",Homo sapiens,Illumina MiSeq,DON1A.16S,53.520710 N 113.524239 W,DON1A.16S,PAIRED,PCR,METAGENOMIC,human metagenome,ILLUMINA,2016-04-12T00:00:00Z,2015-06-29T17:14:00Z,1,DON1A.16S,SRP059928
SRR2081034,AMPLICON,500,241026458,PRJNA288044,SAMN03793063,Metagenome or environmental,124419714,UNIVERSITY OF ALBERTA,2014,public,"fastq,sra",s3,s3.us-east-1,SRX1075612,Canada,North America,"Canada: Edmonton\, Alberta",Homo sapiens,Illumina MiSeq,DON1B.16S,53.520710 N 113.524239 W,DON1B.16S,PAIRED,PCR,METAGENOMIC,human metagenome,ILLUMINA,2016-04-12T00:00:00Z,2015-06-29T17:06:00Z,1,DON1B.16S,SRP059928
SRR2081035,AMPLICON,500,222203719,PRJNA288044,SAMN03793064,Metagenome or environmental,111045626,UNIVERSITY OF ALBERTA,2013,public,"sra,fastq",s3,s3.us-east-1,SRX1075613,Canada,North America,"Canada: Edmonton\, Alberta",Homo sapiens,Illumina MiSeq,IBDA.16S,53.520710 N 113.524239 W,IBDA.16S,PAIRED,PCR,METAGENOMIC,human metagenome,ILLUMINA,2016-04-12T00:00:00Z,2015-06-29T17:02:00Z,1,IBDA.16S,SRP059928
SRR2081036,AMPLICON,500,258132094,PRJNA288044,SAMN03793065,Metagenome or environmental,126817648,UNIVERSITY OF ALBERTA,2013,public,"fastq,sra",s3,s3.us-east-1,SRX1075614,Canada,North America,"Canada: Edmonton\, Alberta",Homo sapiens,Illumina MiSeq,IBDB.16S,53.520710 N 113.524239 W,IBDB.16S,PAIRED,PCR,METAGENOMIC,human metagenome,ILLUMINA,2016-04-12T00:00:00Z,2015-06-29T17:02:00Z,1,IBDB.16S,SRP059928
SRR2081037,AMPLICON,500,169156947,PRJNA288044,SAMN03793066,Metagenome or environmental,83909375,UNIVERSITY OF ALBERTA,2014,public,"fastq,sra",s3,s3.us-east-1,SRX1075615,Canada,North America,"Canada: Edmonton\, Alberta",not applicable,Illumina MiSeq,MIX7A.16S,53.520710 N 113.524239 W,MIX7A.16S,PAIRED,PCR,METAGENOMIC,mixed culture metagenome,ILLUMINA,2016-04-12T00:00:00Z,2015-06-29T17:06:00Z,1,MIX7A.16S,SRP059928
