        BioSample          WGS          16S
10   SAMN17619188  SRR13739537  SRR14065914
12   SAMN17618623  SRR13739541  SRR14065812
19   SAMN17618613  SRR13739552  SRR14065559
20   SAMN17618612  SRR13739553  SRR14065561
25   SAMN17618606  SRR13739560  SRR14065565
26   SAMN17618605  SRR13739561  SRR14065566
36   SAMN17619172  SRR13739579  SRR14065308
47   SAMN17619160  SRR13739592  SRR14065527
71   SAMN17618590  SRR13739625  SRR14065820
106  SAMN17618564  SRR13739678  SRR14065520
114  SAMN17619116  SRR13739690  SRR14065780
118  SAMN17619110  SRR13739696  SRR14065429
170  SAMN17619289  SRR13739797  SRR14065884
208  SAMN17618693  SRR13739859  SRR14065400
230  SAMN17618685  SRR13739892  SRR14065406
232  SAMN17618683  SRR13739894  SRR14065408
253  SAMN17619212  SRR13739931  SRR14065606
269  SAMN17618647  SRR13739959  SRR14065800
270  SAMN17618646  SRR13739960  SRR14065801
271  SAMN17618643  SRR13739963  SRR14065802
274  SAMN17618639  SRR13739967  SRR14065805
291  SAMN17618845  SRR13739994  SRR14065760
295  SAMN17618838  SRR13740001  SRR14065764
343  SAMN17618771  SRR13740090  SRR14065898
365  SAMN17619393  SRR13740144  SRR14065714
377  SAMN17619376  SRR13740163  SRR14065418
411  SAMN17618744  SRR13740217  SRR14065911
421  SAMN17619334  SRR13740234  SRR14065848
430  SAMN17619053  SRR13740270  SRR14065444
433  SAMN17618517  SRR13740276  SRR14065413
440  SAMN17619035  SRR13740290  SRR14065629
469  SAMN17618980  SRR13740350  SRR14065724
499  SAMN17618953  SRR13740381  SRR14065866
503  SAMN17618949  SRR13740385  SRR14065871
525  SAMN17618929  SRR13740407  SRR14065392
529  SAMN17618926  SRR13740411  SRR14065395
537  SAMN17618918  SRR13740419  SRR14065676
542  SAMN17618914  SRR13740424  SRR14065680
564  SAMN17618894  SRR13740446  SRR14065689
585  SAMN17618875  SRR13740467  SRR14065340
586  SAMN17618874  SRR13740468  SRR14065341
596  SAMN17618865  SRR13740478  SRR14065495
