genome.genome_id	genome.contigs	genome.genome_length	feature.accession	feature.start	feature.end	feature.strand	feature.patric_id	feature.product
1479235.4	34	3547532	LJZS01000013	37503	38207	+	fig|1479235.4.peg.145	DnaA inactivator Hda (shorter homolog of DnaA)
1479235.4	34	3547532	LJZS01000001	276135	278357	+	fig|1479235.4.peg.631	Helicase PriA essential for oriC/DnaA-independent DNA replication
1479235.4	34	3547532	LJZS01000003	218775	219362	-	fig|1479235.4.peg.1767	DnaA initiator-associating protein DiaA
1479235.4	34	3547532	LJZS01000002	42143	43618	-	fig|1479235.4.peg.1158	Chromosomal replication initiator protein DnaA
86668.3	170	6372252	BAWM01000004	116719	119130	-	fig|86668.3.peg.347	Helicase PriA essential for oriC/DnaA-independent DNA replication
86668.3	170	6372252	BAWM01000032	15185	16531	+	fig|86668.3.peg.3165	Chromosomal replication initiator protein DnaA
1494608.3	1	4593579	CP007595	937365	939716	-	fig|1494608.3.peg.904	Helicase PriA essential for oriC/DnaA-independent DNA replication
1494608.3	1	4593579	CP007595	2857962	2859398	+	fig|1494608.3.peg.2674	Chromosomal replication initiator protein DnaA
1537917.3	148	2107395	JQGL01000018	11983	13830	-	fig|1537917.3.peg.473	Helicase PriA essential for oriC/DnaA-independent DNA replication
1537917.3	148	2107395	JQGL01000046	5485	6813	-	fig|1537917.3.peg.923	Chromosomal replication initiator protein DnaA
1566358.3	2	5787303	CP010976	4864626	4865972	+	fig|1566358.3.peg.4819	Chromosomal replication initiator protein DnaA
1566358.3	2	5787303	CP010976	1003339	1005864	+	fig|1566358.3.peg.942	Helicase PriA essential for oriC/DnaA-independent DNA replication
999550.5	8	5049034	AXBF01000002	2294026	2294745	+	fig|999550.5.peg.2232	DnaA inactivator Hda (shorter homolog of DnaA)
999550.5	8	5049034	AXBF01000002	511746	513941	+	fig|999550.5.peg.477	Helicase PriA essential for oriC/DnaA-independent DNA replication
999550.5	8	5049034	AXBF01000002	2463630	2464877	-	fig|999550.5.peg.2400	Chromosomal replication initiator protein DnaA
999550.5	8	5049034	AXBF01000003	645028	646515	-	fig|999550.5.peg.3554	Chromosomal replication initiator protein DnaA
1002340.3	135	4589206	AFCF01000028	109960	110667	+	fig|1002340.3.peg.1326	DnaA inactivator Hda (shorter homolog of DnaA)
1002340.3	135	4589206	AFCF01000066	17262	19457	-	fig|1002340.3.peg.3823	Helicase PriA essential for oriC/DnaA-independent DNA replication
1002340.3	135	4589206	AFCF01000025	69464	70867	-	fig|1002340.3.peg.803	Chromosomal replication initiator protein DnaA
